second,Volt
-2.81250E-09,+4.40043262037216E+00
-2.73438E-09,+4.40043262037216E+00
-2.65625E-09,+4.40043262037216E+00
-2.57813E-09,+4.40043262037216E+00
-2.50000E-09,+4.40043262037216E+00
-2.42188E-09,+4.40043262037216E+00
-2.34375E-09,+4.40043262037216E+00
-2.26563E-09,+4.40043262037216E+00
-2.18750E-09,+4.40043262037216E+00
-2.10938E-09,+4.40043262037216E+00
-2.03125E-09,+4.40043262037216E+00
-1.95313E-09,+4.40043262037216E+00
-1.87500E-09,+4.40043262037216E+00
-1.79688E-09,+4.40043262037216E+00
-1.71875E-09,+4.40043262037216E+00
-1.64063E-09,+4.40043262037216E+00
-1.56250E-09,+4.40043262037216E+00
-1.48438E-09,+4.40043262037216E+00
-1.40625E-09,+4.40043262037216E+00
-1.32813E-09,+4.40043262037216E+00
-1.25000E-09,+4.40043262037216E+00
-1.17188E-09,+4.40043262037216E+00
-1.09375E-09,+4.40043262037216E+00
-1.01563E-09,+4.40043262037216E+00
-937.50E-12,+4.40043262037216E+00
-859.38E-12,+4.40043262037216E+00
-781.25E-12,+4.40043262037216E+00
-703.13E-12,+4.40043262037216E+00
-625.00E-12,+4.40043262037216E+00
-546.88E-12,+4.40043262037216E+00
-468.75E-12,+4.40043262037216E+00
-390.63E-12,+4.40043262037216E+00
-312.50E-12,+4.40043262037216E+00
-234.38E-12,+4.40043262037216E+00
-156.25E-12,+4.40043262037216E+00
-78.13E-12,+4.40043262037216E+00
-0.0E+00,+4.40043262037216E+00
+78.12E-12,+4.40043262037216E+00
+156.25E-12,+4.40043262037216E+00
+234.37E-12,+4.40043262037216E+00
+312.50E-12,+4.40043262037216E+00
+390.62E-12,+4.40043262037216E+00
+468.75E-12,+4.40043262037216E+00
+546.87E-12,+4.40043262037216E+00
+625.00E-12,+4.40043262037216E+00
+703.12E-12,+4.40043262037216E+00
+781.25E-12,+4.40043262037216E+00
+859.37E-12,+4.40043262037216E+00
+937.50E-12,+4.40043262037216E+00
+1.01562E-09,+4.40043262037216E+00
+1.09375E-09,+4.40043262037216E+00
+1.17187E-09,+4.40043262037216E+00
+1.25000E-09,+4.40043262037216E+00
+1.32812E-09,+4.40043262037216E+00
+1.40625E-09,+4.40043262037216E+00
+1.48437E-09,+4.40043262037216E+00
+1.56250E-09,+4.40043262037216E+00
+1.64062E-09,+4.40043262037216E+00
+1.71875E-09,+4.40043262037216E+00
+1.79687E-09,+4.40043262037216E+00
+1.87500E-09,+4.40043262037216E+00
+1.95312E-09,+4.40043262037216E+00
+2.03125E-09,+4.40043262037216E+00
+2.10937E-09,+4.40043262037216E+00
+2.18750E-09,+4.40043262037216E+00
+2.26562E-09,+4.40043262037216E+00
+2.34375E-09,+4.40043262037216E+00
+2.42187E-09,+4.40043262037216E+00
+2.50000E-09,+4.40043262037216E+00
+2.57812E-09,+4.40043262037216E+00
+2.65625E-09,+4.40043262037216E+00
+2.73437E-09,+4.40043262037216E+00
+2.81250E-09,+4.40043262037216E+00
+2.89062E-09,+4.40043262037216E+00
+2.96875E-09,+4.40043262037216E+00
+3.04687E-09,+4.40043262037216E+00
+3.12500E-09,+4.40043262037216E+00
+3.20312E-09,+4.40043262037216E+00
+3.28125E-09,+4.40043262037216E+00
+3.35937E-09,+4.40043262037216E+00
+3.43750E-09,+4.40043262037216E+00
+3.51562E-09,+4.40043262037216E+00
+3.59375E-09,+4.40043262037216E+00
+3.67187E-09,+4.40043262037216E+00
+3.75000E-09,+4.40043262037216E+00
+3.82812E-09,+4.40043262037216E+00
+3.90625E-09,+4.40043262037216E+00
+3.98437E-09,+4.40043262037216E+00
+4.06250E-09,+4.40043262037216E+00
+4.14062E-09,+4.40043262037216E+00
+4.21875E-09,+4.40043262037216E+00
+4.29687E-09,+4.40043262037216E+00
+4.37500E-09,+4.40043262037216E+00
+4.45312E-09,+4.40043262037216E+00
+4.53125E-09,+4.40043262037216E+00
+4.60937E-09,+4.40043262037216E+00
+4.68750E-09,+4.40043262037216E+00
+4.76562E-09,+4.40043262037216E+00
+4.84375E-09,+4.40043262037216E+00
+4.92187E-09,+4.40043262037216E+00
+5.00000E-09,+4.40043262037216E+00
+5.07812E-09,+4.40043262037216E+00
+5.15625E-09,+4.40043262037216E+00
+5.23437E-09,+4.40043262037216E+00
+5.31250E-09,+4.40043262037216E+00
+5.39062E-09,+4.40043262037216E+00
+5.46875E-09,+4.40043262037216E+00
+5.54687E-09,+4.40043262037216E+00
+5.62500E-09,+4.40043262037216E+00
+5.70312E-09,+4.40043262037216E+00
+5.78125E-09,+4.40043262037216E+00
+5.85937E-09,+4.40043262037216E+00
+5.93750E-09,+4.40043262037216E+00
+6.01562E-09,+4.40043262037216E+00
+6.09375E-09,+4.40043262037216E+00
+6.17187E-09,+4.40043262037216E+00
+6.25000E-09,+4.40043262037216E+00
+6.32812E-09,+4.40043262037216E+00
+6.40625E-09,+4.40043262037216E+00
+6.48437E-09,+4.40043262037216E+00
+6.56250E-09,+4.40043262037216E+00
+6.64062E-09,+4.40043262037216E+00
+6.71875E-09,+4.40043262037216E+00
+6.79687E-09,+4.40043262037216E+00
+6.87500E-09,+4.40043262037216E+00
+6.95312E-09,+4.40043262037216E+00
+7.03125E-09,+4.40043262037216E+00
+7.10937E-09,+4.40043262037216E+00
+7.18750E-09,+4.40043262037216E+00
+7.26562E-09,+4.40043262037216E+00
+7.34375E-09,+4.40043262037216E+00
+7.42187E-09,+4.40043262037216E+00
+7.50000E-09,+4.40043262037216E+00
+7.57812E-09,+4.40043262037216E+00
+7.65625E-09,+4.40043262037216E+00
+7.73437E-09,+4.40043262037216E+00
+7.81250E-09,+4.40043262037216E+00
+7.89062E-09,+4.40043262037216E+00
+7.96875E-09,+4.40043262037216E+00
+8.04687E-09,+4.40043262037216E+00
+8.12500E-09,+4.40043262037216E+00
+8.20312E-09,+4.40043262037216E+00
+8.28125E-09,+4.40043262037216E+00
+8.35937E-09,+4.40043262037216E+00
+8.43750E-09,+4.40043262037216E+00
+8.51562E-09,+4.40043262037216E+00
+8.59375E-09,+4.40043262037216E+00
+8.67187E-09,+4.40043262037216E+00
+8.75000E-09,+4.40043262037216E+00
+8.82812E-09,+4.40043262037216E+00
+8.90625E-09,+4.40043262037216E+00
+8.98437E-09,+4.40043262037216E+00
